GraderBatchID,GraderBatchNo,FarmCode,Orchard,ProductionSite,Owner,Bins,InputKgs,ExportKgs,PackOut,NormExportKgs,NormSFPackOut,RAPPO,CRAPPO,FinalPackOut,Packing site,PackoutDiff,53,58,63,67,72,BulkKgs,53A,58A,63A,67A,72A,BulkKgsA,Prop53,Prop58,Prop63s,m53,m58,m63s,mpa53,mpa58,mpa63s,WAAppleMass,BulkRTEs,53b,58b,63b,67b,72b,BulkARTEs,53Ab,58Ab,63Ab,67Ab,72Ab,UnadjustedRTEs,AdjustedRTEs
4990,1,R2534,Stock Road South,A,ROLP 1,42,18330.49,15230.490000000002,0.8308828623784743,0,NA,NA,NA,0.8308828623784743,Te Ipu,0,16300.8,18430,11216,150,0,0,16300.8,18430,11216,150,0,0,0.4904542121038199,0.39968353421337927,0.10986225368280084,6744846.600000001,6638503.8,2071884.5,54.812532811065154,66.20033905403923,75.16632201422145,61.60016461003762,0,16300.8,18430,11216,150,0,0,16300.8,18430,11216,150,0,46096.8,46096.8
4991,2,R2534,Stock Road South,A,ROLP 1,22,9567.9,7653.9,0.7999561032201423,0,NA,NA,NA,0.7999561032201423,Te Ipu,0,7814.4,8436,6368,180,0,0,7814.4,8436,6368,180,0,0,0.42620387449555713,0.43661576202470015,0.1371803634797427,2502211.9,3104615.6,1106348.4,54.97071332850018,66.57836203384015,75.51350761040202,62.85686369977809,0,7814.4,8436,6368,180,0,0,7814.4,8436,6368,180,0,22798.4,22798.4
4992,3,R1936,Wharerangi,B,ROLP 1,20,8723.21,7369.209999999999,0.8447819094117877,0,NA,NA,NA,0.8447819094117877,Te Ipu,0,3148.8,6365,9344,765,204,0,3148.8,6365,9344,765,204,0,0.25622049068736785,0.5076325927642441,0.23614691654838804,968753.6,2297072.5,1200512.5,54.75968571590074,65.5370185449358,73.62848819380558,64.68642064710482,0,3148.8,6365,9344,765,204,0,3148.8,6365,9344,765,204,19826.8,19826.8
4993,4,R1936,Wharerangi,D,ROLP 1,10,4328.36,3434.3599999999997,0.7934552578805829,0,NA,NA,NA,0.7934552578805829,Te Ipu,0,1017.6,2166,4640,660,276,0,1017.6,2166,4640,660,276,0,0.23587945026711798,0.5037722768239469,0.2603482729089352,320862.10000000003,823595.3,478822.8,55.474083679114806,66.67168299198576,75.00357142857143,66.19959218628931,0,1017.6,2166,4640,660,276,0,1017.6,2166,4640,660,276,8759.6,8759.6
4994,5,R2919,Valley,A,Rockit Orchards Limited,20,8550.7,7145.700000000001,0.8356859672307531,0,NA,NA,NA,0.8356859672307531,Te Ipu,0,1824,4617,10384,1140,348,0,1824,4617,10384,1140,348,0,0.16472312810883816,0.5822709753928254,0.25300589649833644,542042.8,2292189.2,1117459.1,54.19886011398861,64.83902466621409,72.74650738884188,65.08698323286228,0,1824,4617,10384,1140,348,0,1824,4617,10384,1140,348,18313,18313
4995,6,R2919,Valley,B,Rockit Orchards Limited,12,5130.65,4419.65,0.8614210675060665,0,NA,NA,NA,0.8614210675060665,Te Ipu,0,1977.6000000000001,4028,5520,420,60,0,1977.6000000000001,4028,5520,420,60,0,0.32192339038304807,0.49606085302906816,0.18201575658788371,889282.2000000001,1647298.8,682984.3,53.60350813743219,64.4382256297919,72.81282515991472,62.47458571040478,0,1977.6000000000001,4028,5520,420,60,0,1977.6000000000001,4028,5520,420,60,12005.6,12005.6
4996,7,R2886,Sim 2,A,Rakete,10,4466.55,3986.5500000000006,0.8925345064983041,0,NA,NA,NA,0.8925345064983041,Te Ipu,0,1056,3002,5632,345,276,0,1056,3002,5632,345,276,0,0.19326691204467572,0.5362355628886915,0.2704975250666328,336476.3,1120498,637591.4,55.241553111147596,66.30165680473372,74.79078005865102,66.46039154715065,0,1056,3002,5632,345,276,0,1056,3002,5632,345,276,10311,10311
4997,8,R1580,Pioneer,B,Pioneer Capital Molly Limited,22,9500.99,8136.99,0.8564360135101711,0,NA,NA,NA,0.8564360135101711,Te Ipu,0,2726.4,5795,11536,1035,108,0,2726.4,5795,11536,1035,108,0,0.28454235966346225,0.48751480976019435,0.22794283057634337,1022142,2117902.5,1113319.1,53.87350445369736,65.15219798812564,73.24949667741299,63.788653099176656,0,2726.4,5795,11536,1035,108,0,2726.4,5795,11536,1035,108,21200.4,21200.4
4998,9,R1580,Pioneer,A,Pioneer Capital Molly Limited,8,3411.09,2993.09,0.8774585249876139,0,NA,NA,NA,0.8774585249876139,Te Ipu,0,1094.4,2242,4128,330,60,0,1094.4,2242,4128,330,60,0,0.26449146865271705,0.5062064073767585,0.2293021239705245,363384.7,841478.3,429400.9,54.139556019070326,65.50508329441071,73.79290256057742,64.39941285415928,0,1094.4,2242,4128,330,60,0,1094.4,2242,4128,330,60,7854.4,7854.4
4999,10,R1230,Home Block,C,ROLP 1,16,6960.4,5571.4,0.8004425033044078,0,NA,NA,NA,0.8004425033044078,Te Ipu,0,4147.2,5358,6096,201,24,0,4147.2,5358,6096,201,24,0,0.3600275389280326,0.46849868897124525,0.17147377210072218,1344561.2,2134517.2,886901.2000000001,54.705883310277486,66.73911765625489,75.764667691782,63.95446701920402,0,4147.2,5358,6096,201,24,0,4147.2,5358,6096,201,24,15826.2,15826.2
