BlockCode,ActiveFlag,SubdivisionCode,FarmCode,FarmName,GrowingSystem
F,TRUE,A,R1021,Riverside Apples,Top-grafted
L,TRUE,B,R1021,Riverside Apples,Top-grafted
S,TRUE,C,R1021,Riverside Apples,Top-grafted
T,TRUE,C,R1021,Riverside Apples,Top-grafted
A,TRUE,A,R1021,Riverside Apples,Top-grafted
U,TRUE,C,R1021,Riverside Apples,Top-grafted
J,TRUE,A,R1021,Riverside Apples,Top-grafted
N,TRUE,B,R1021,Riverside Apples,Top-grafted
W,TRUE,C,R1021,Riverside Apples,Top-grafted
Z,TRUE,C,R1021,Riverside Apples,Top-grafted
B,TRUE,B,R1095,Willowbank Orchard ,Spindle
C,TRUE,C,R1095,Willowbank Orchard ,Spindle
A,TRUE,A,R1149,Steel,Spindle
B,TRUE,B,R1149,Steel,Spindle
C,TRUE,C,R1149,Steel,Spindle
D,TRUE,D,R1149,Steel,Spindle
D2,TRUE,D,R1230,Home Block,Spindle
D3,TRUE,D,R1230,Home Block,FOPS
D1,TRUE,D,R1230,Home Block,FOPS
A,TRUE,A,R1230,Home Block,FOPS
B,TRUE,B,R1230,Home Block,FOPS
C,TRUE,C,R1230,Home Block,Spindle
E1-7,TRUE,E,R1230,Home Block,Spindle
E8,TRUE,E,R1230,Home Block,Spindle
F1,TRUE,F,R1230,Home Block,Spindle
F2,TRUE,F,R1230,Home Block,FOPS
A1,TRUE,A,R1232,Raukawa,FOPS
A2,TRUE,A,R1232,Raukawa,FOPS
A3,TRUE,A,R1232,Raukawa,FOPS
A4,TRUE,A,R1232,Raukawa,FOPS
B1,TRUE,B,R1232,Raukawa,Spindle
B2,TRUE,B,R1232,Raukawa,Spindle
B3,TRUE,B,R1232,Raukawa,Spindle
B4,TRUE,B,R1232,Raukawa,Spindle
C1,TRUE,C,R1232,Raukawa,Spindle
C2,TRUE,C,R1232,Raukawa,Spindle
C3,TRUE,C,R1232,Raukawa,Spindle
C4,TRUE,C,R1232,Raukawa,Spindle
A1,TRUE,A,R1233,Te Aute Road North ,Top-grafted
A2,TRUE,A,R1233,Te Aute Road North ,Top-grafted
B1,TRUE,B,R1233,Te Aute Road North ,Top-grafted
B2,TRUE,B,R1233,Te Aute Road North ,Top-grafted
D,TRUE,D,R1369,Swamp Road,Spindle
E,TRUE,E,R1369,Swamp Road,Spindle
A,TRUE,A,R1369,Swamp Road,Spindle
B,TRUE,B,R1369,Swamp Road,Spindle
C,TRUE,C,R1369,Swamp Road,Spindle
F,TRUE,F,R1369,Swamp Road,Spindle
P1,TRUE,A,R1580,Pioneer Orchard,2D
P2,TRUE,B,R1580,Pioneer Orchard,2D
P3,TRUE,B,R1580,Pioneer Orchard,2D
