PlantingID,PlantingCode,RootStock,RowSpacing,TreeSpacing,YearPlanted,FirstSeason,Grow System,PIN,Orchard,Address1,TownCity,Latitude,Longitude,OrchardGroupID,Grower,OrchardGroup,PlantingSeasonID,QtyTrees,QtyRows,Hectares,ManagementArea,Subdivision
1,LONGACR A2,CG202,3.5,1.4,2019,2021,Spindle,R2219,IND- Longacre Orchard (RLA),1795 Korokipo Road,Hastings,-39.5792832,176.7679864,9,Rockit Long Acre,Independent Sector,2240,2173,26,1.124,A2,A
2,LONGACR C1,M.9,3,1.6,2023,2021,2D,R2219,IND- Longacre Orchard (RLA),1795 Korokipo Road,Hastings,-39.5792832,176.7679864,9,Rockit Long Acre,Independent Sector,2473,4841,32,2.335,C1,C
4,STEEL A,M.9,3,1.4,2019,2021,Spindle,R1149,Steel,490 Puketitiri Road,Napier,-39.490503,176.816548,10,Rakete Orchards Limited Partnership,Crownthorpe Sector,2581,4628,36,2.036,A,A
5,STEEL B,M.9,3,1.4,2019,2021,Spindle,R1149,Steel,490 Puketitiri Road,Napier,-39.490503,176.816548,10,Rakete Orchards Limited Partnership,Crownthorpe Sector,2366,3630,52,1.609,B,B
6,STEEL C,M.9,3,1.4,2019,2021,Spindle,R1149,Steel,490 Puketitiri Road,Napier,-39.490503,176.816548,10,Rakete Orchards Limited Partnership,Crownthorpe Sector,2547,7543,70,3.319,C,C
7,STEEL D,M.9,3,1.4,2019,2021,Spindle,R1149,Steel,490 Puketitiri Road,Napier,-39.490503,176.816548,10,Rakete Orchards Limited Partnership,Crownthorpe Sector,2334,4026,59,1.754,D,D
16,HME A,CG202,2.2,3,2020,2021,FOPS,R1230,Home Block,83 Stock Road,Hastings,-39.692086,176.812345,3,ROLP 1,Havelock Sector,2490,4709,150,3.219,A,A
17,HME B,CG202,2.2,3,2020,2021,FOPS,R1230,Home Block,83 Stock Road,Hastings,-39.692086,176.812345,3,ROLP 1,Havelock Sector,2392,4648,133,3.157,B,B
18,HME C,M.9,3.5,1.4,2012,2021,Spindle,R1230,Home Block,83 Stock Road,Hastings,-39.692086,176.812345,3,ROLP 1,Havelock Sector,2570,6163,36,3.118,C,C
8,DTM C,M.9,3,1.4,2016,2021,Spindle,R2150,Dartmoor,338 Dartmoor Road,Napier,-39.501152,176.758914,9,ROLP 2,Independent Sector,2264,0,42,1.94628,C,B
19,HME D1,M.9,2.2,2.4,2020,2021,FOPS,R1230,Home Block,83 Stock Road,Hastings,-39.692086,176.812345,3,ROLP 1,Havelock Sector,2386,1259,25,0.686,D1,D
9,DTM D,M.9,3,1.4,2016,2021,Spindle,R2150,Dartmoor,338 Dartmoor Road,Napier,-39.501152,176.758914,9,ROLP 2,Independent Sector,2441,0,42,1.9404,D,B
20,HME D2,M.9,3,1.4,2015,2021,Spindle,R1230,Home Block,83 Stock Road,Hastings,-39.692086,176.812345,3,ROLP 1,Havelock Sector,2286,1425,16,0.592,D2,D
10,DTM A,M.9,3,1.4,2016,2021,Spindle,R2150,Dartmoor,338 Dartmoor Road,Napier,-39.501152,176.758914,9,ROLP 2,Independent Sector,2230,0,54,1.8627,A,A
21,HME D3,CG202,2.2,3,2020,2021,FOPS,R1230,Home Block,83 Stock Road,Hastings,-39.692086,176.812345,3,ROLP 1,Havelock Sector,2464,3554,88,2.382,D3,D
11,DTM B,M.9,3,1.4,2016,2021,Spindle,R2150,Dartmoor,338 Dartmoor Road,Napier,-39.501152,176.758914,9,ROLP 2,Independent Sector,2629,0,20,0.51366,B,A
22,HME E1-7,M.9/M.26,3.5,1.5,2012,2021,Spindle,R1230,Home Block,83 Stock Road,Hastings,-39.692086,176.812345,3,ROLP 1,Havelock Sector,2252,3953,58,2.631,E1-7,E
12,HAU A1,M.9,3,1.4,2015,2021,Spindle,R2776,Haumoana,79 Tennant Road,Haumoana,-39.636833,176.925771,11,ROLP 2,Hastings Sector,2306,4416,47,1.886,A1,A
23,HME E8,M.793,5,1.4,2012,2021,Spindle,R1230,Home Block,83 Stock Road,Hastings,-39.692086,176.812345,3,ROLP 1,Havelock Sector,2431,448,7,0.32,E8,E
13,HAU B1,M.9,3,1.4,2015,2021,Spindle,R2776,Haumoana,79 Tennant Road,Haumoana,-39.636833,176.925771,11,ROLP 2,Hastings Sector,2600,3909,49,1.691,B1,B
24,HME F1,M.9,3.5,1.4,2015,2021,Spindle,R1230,Home Block,83 Stock Road,Hastings,-39.692086,176.812345,3,ROLP 1,Havelock Sector,2356,977,7,0.47,F1,F
14,HAU A2,M.9,3,1.4,2015,2021,Spindle,R2776,Haumoana,79 Tennant Road,Haumoana,-39.636833,176.925771,11,ROLP 2,Hastings Sector,2526,5998,47,2.61,A2,A
25,HME F2,M.9,2.2,2.4,2020,2021,FOPS,R1230,Home Block,83 Stock Road,Hastings,-39.692086,176.812345,3,ROLP 1,Havelock Sector,2592,3595,44,1.942,F2,F
15,HAU B2,M.9,3,1.4,2015,2021,Spindle,R2776,Haumoana,79 Tennant Road,Haumoana,-39.636833,176.925771,11,ROLP 2,Hastings Sector,2204,4865,45,2.137,B2,B
41,RRD A1,CG202,2.2,3,2022,2021,FOPS,R1232,Raukawa,127 Raukawa Road,Hastings,-39.6581759,176.748468,3,ROLP 1,Havelock Sector,2242,1001,47,0.673,A1,A
42,RRD A5,MM.106,4,2.5,2012,2021,Spindle,R1232,Raukawa,127 Raukawa Road,Hastings,-39.6581759,176.748468,3,ROLP 1,,,,,,,
43,RRD A4,CG202,2.2,3,2022,2021,FOPS,R1232,Raukawa,127 Raukawa Road,Hastings,-39.6581759,176.748468,3,ROLP 1,Havelock Sector,2319,1951,61,1.293,A4,A
44,RRD A3,CG202,2.2,3,2022,2021,FOPS,R1232,Raukawa,127 Raukawa Road,Hastings,-39.6581759,176.748468,3,ROLP 1,Havelock Sector,2583,2235,77,1.495,A3,A
45,RRD A2,CG202,2.2,3,2022,2021,FOPS,R1232,Raukawa,127 Raukawa Road,Hastings,-39.6581759,176.748468,3,ROLP 1,Havelock Sector,2368,1920,66,1.309,A2,A
46,RRD B1,MM.106,4,2.5,2012,2021,Spindle,R1232,Raukawa,127 Raukawa Road,Hastings,-39.6581759,176.748468,3,ROLP 1,Havelock Sector,2215,2079,13,1.796,B1,B
47,RRD B4,MM.106,4,2.5,2012,2021,Spindle,R1232,Raukawa,127 Raukawa Road,Hastings,-39.6581759,176.748468,3,ROLP 1,Havelock Sector,2448,1437,10,1.237,B4,B
48,RRD B3,MM.106,4,2.5,2012,2021,Spindle,R1232,Raukawa,127 Raukawa Road,Hastings,-39.6581759,176.748468,3,ROLP 1,Havelock Sector,2295,1515,10,1.295,B3,B
49,RRD B2,MM.106,4,2.5,2012,2021,Spindle,R1232,Raukawa,127 Raukawa Road,Hastings,-39.6581759,176.748468,3,ROLP 1,Havelock Sector,2554,1367,9,1.206,B2,B
50,RRD C1,MM.106,4,2.5,2012,2021,Spindle,R1232,Raukawa,127 Raukawa Road,Hastings,-39.6581759,176.748468,3,ROLP 1,Havelock Sector,2340,1797,13,1.673,C1,C
51,RRD C4,MM.106,4,2.5,2012,2021,Spindle,R1232,Raukawa,127 Raukawa Road,Hastings,-39.6581759,176.748468,3,ROLP 1,Havelock Sector,2631,517,10,0.412,C4,C
26,MOT A1,MM.106,3.5,1.6,2012,2021,Spindle,R2636,IND - Moteo Pa,105 Moteo Pa Road,Hastings,-39.519524,176.77209,9,Global Harvest Ltd,Independent Sector,2323,4512,30,2.9,A1,A
52,RRD C3,MM.106,4,2.5,2012,2021,Spindle,R1232,Raukawa,127 Raukawa Road,Hastings,-39.6581759,176.748468,3,ROLP 1,Havelock Sector,2420,767,10,0.695,C3,C
27,MOT A2,MM.106,3.5,1.6,2012,2021,Spindle,R2636,IND - Moteo Pa,105 Moteo Pa Road,Hastings,-39.519524,176.77209,9,Global Harvest Ltd,Independent Sector,2225,1481,10,0.9,A2,A
53,RRD C2,MM.106,4,2.5,2012,2021,Spindle,R1232,Raukawa,127 Raukawa Road,Hastings,-39.6581759,176.748468,3,ROLP 1,Havelock Sector,2266,952,9,0.877,C2,C
28,MOT B1,M.9,3,1.4,2013,2021,Spindle,R2636,IND - Moteo Pa,105 Moteo Pa Road,Hastings,-39.519524,176.77209,9,Global Harvest Ltd,Independent Sector,2512,1902,12,1.218,B1,B
56,SRS B2,M.9,3.5,1.4,2007,2021,Spindle,R2534,Stock Road South,70 Stock Road ,Hastings,-39.6892445,176.8124229,3,ROLP 1,Havelock Sector,2606,3028,27,1.52292,B2,B
29,MOT B2,M.9,3,1.4,2013,2021,Spindle,R2636,IND - Moteo Pa,105 Moteo Pa Road,Hastings,-39.519524,176.77209,9,Global Harvest Ltd,Independent Sector,2220,2290,13,1.07,B2,B
57,SRS A1,M.9,3.5,1.4,2012,2021,Spindle,R2534,Stock Road South,70 Stock Road ,Hastings,-39.6892445,176.8124229,3,ROLP 1,Havelock Sector,2394,1667,14,0.83888,A1,A
30,NRC A1,MM.106,4.5,2.5,2015,2021,Twin Leader,R1639,Napier Road Central,428 Napier Road,Hastings,-39.6334528,176.8951717,11,ROLP 2,Hastings Sector,2564,424,8,0.468,A1,A
58,SRS A2,M.9,3.5,1.4,2012,2021,Spindle,R2534,Stock Road South,70 Stock Road ,Hastings,-39.6892445,176.8124229,3,ROLP 1,Havelock Sector,2236,1175,14,0.59976,A2,A
31,NRC B1,M.9/M.116,4.5,1.2,2015,2021,Spindle,R1639,Napier Road Central,428 Napier Road,Hastings,-39.6334528,176.8951717,11,ROLP 2,Hastings Sector,2406,458,4,0.27,B1,B
59,SRS B1,M.9,3.5,1.4,2012,2021,Spindle,R2534,Stock Road South,70 Stock Road ,Hastings,-39.6892445,176.8124229,3,ROLP 1,Havelock Sector,2498,2943,27,1.64346,B1,B
32,NRN A3,M.9,3,1.4,2015,2021,Spindle,R2775,Napier Road North,438 Napier Road,Havelock North,-39.632707,176.894727,11,ROLP 2,Hastings Sector,2534,2348,32,1.021,A3,A
60,SRS A3,M.9,3.5,1.4,2011,2021,Spindle,R2534,Stock Road South,70 Stock Road ,Hastings,-39.6892445,176.8124229,3,ROLP 1,Havelock Sector,2288,1590,14,0.84035,A3,A
33,NRN B1,M.9,3,1.4,2015,2021,Spindle,R2775,Napier Road North,438 Napier Road,Havelock North,-39.632707,176.894727,11,ROLP 2,Hastings Sector,2485,4498,71,1.957,B1,B
61,SRS A5,MM.106,3.5,1.4,2007,2021,Spindle,R2534,Stock Road South,70 Stock Road ,Hastings,-39.6892445,176.8124229,3,ROLP 1,Havelock Sector,2467,200,2,0.11172,A5,A
34,OMAHU A1,M.9,3,1.4,2014,2021,Spindle,R2724,Omahu,721 Taihape Road,Hastings,-39.555005,176.698555,10,ROLP 2,Crownthorpe Sector,2302,4354,58,1.85,A1,A
62,SRS A4,M.9,3.5,1.4,2011,2021,Spindle,R2534,Stock Road South,70 Stock Road ,Hastings,-39.6892445,176.8124229,3,ROLP 1,Havelock Sector,2364,1630,17,0.82026,A4,A
36,OMAHU A2,M.9,3,1.4,2014,2021,Spindle,R2724,Omahu,721 Taihape Road,Hastings,-39.555005,176.698555,10,ROLP 2,Crownthorpe Sector,2380,3689,55,1.58,A2,A
63,SRS C1,M.9,3.4,1.4,2013,2021,Spindle,R2534,Stock Road South,70 Stock Road ,Hastings,-39.6892445,176.8124229,3,ROLP 1,Havelock Sector,2545,2466,21,1.184764,C1,C
37,OMAHU A3,M.9,3,1.4,2013,2021,Spindle,R2724,Omahu,721 Taihape Road,Hastings,-39.555005,176.698555,10,ROLP 2,Crownthorpe Sector,2613,1868,31,0.84,A3,A
64,SRS C2,M.9,3.4,1.4,2013,2021,Spindle,R2534,Stock Road South,70 Stock Road ,Hastings,-39.6892445,176.8124229,3,ROLP 1,Havelock Sector,2358,2403,21,1.176672,C2,C
39,OMAHU B3,M.9,3,1.4,2014,2021,Spindle,R2724,Omahu,721 Taihape Road,Hastings,-39.555005,176.698555,10,ROLP 2,Crownthorpe Sector,2275,6417,58,2.76,B3,B
65,SRS D1,M.9,3.5,1.5,2012,2021,Spindle,R2534,Stock Road South,70 Stock Road ,Hastings,-39.6892445,176.8124229,3,ROLP 1,Havelock Sector,2262,1972,19,1.057875,D1,D
66,SRS D2,M.9,3.5,1.5,2012,2021,Spindle,R2534,Stock Road South,70 Stock Road ,Hastings,-39.6892445,176.8124229,3,ROLP 1,Havelock Sector,2437,2108,19,1.134,D2,D
67,TRN A1,M.9/M.26,3.7,1.5,2012,2021,Spindle,R1233,Te Aute Road North,562 Te Aute Road,Hastings,-39.68163,176.818095,3,ROLP 1,Havelock Sector,2227,1914,25,1.109,A1,A
68,TRN A2,M.9/M.26,3.7,1.5,2012,2021,Spindle,R1233,Te Aute Road North,562 Te Aute Road,Hastings,-39.68163,176.818095,3,ROLP 1,Havelock Sector,2625,1894,25,1.079,A2,A
69,TRN B1,M.9/M.26,3.7,1.5,2012,2021,Spindle,R1233,Te Aute Road North,562 Te Aute Road,Hastings,-39.68163,176.818095,3,ROLP 1,Havelock Sector,2330,2195,23,1.393,B1,B
70,TRN B2,M.9/M.26,3.7,1.5,2012,2021,Spindle,R1233,Te Aute Road North,562 Te Aute Road,Hastings,-39.68163,176.818095,3,ROLP 1,Havelock Sector,2566,2105,22,1.359,B2,B
71,TRS A,M.9,3.5,1.4,2012,2021,Spindle,R2668,Te Aute Road South,659 Te Aute Road,Havelock North,-39.6866487,176.8090255,3,ROLP 1,Havelock Sector,2522,4683,28,2.48,A,A
72,WHAR A1,MM.106,4.5,2.5,2012,2021,Spindle,R1936,Wharerangi,615 Puketitiri Road,Hastings,-39.481741,176.809195,10,ROLP 1,Crownthorpe Sector,2201,1953,18,1.55,A1,A
73,WHAR A2,MM.106,4.5,2.5,2012,2021,Spindle,R1936,Wharerangi,615 Puketitiri Road,Hastings,-39.481741,176.809195,10,ROLP 1,Crownthorpe Sector,2486,1365,15,1.3,A2,A
54,RWR A1,M.9,3,1.4,2016,2021,Spindle,R2447,Watson Road,25  Watson Road,Hastings,-39.626789,176.886742,9,Rockit Watson Road Partnership,Independent Sector,2527,2718,53,1.198,A1,A
74,WHAR B1,M.9,4.5,2,2012,2021,Spindle,R1936,Wharerangi,615 Puketitiri Road,Hastings,-39.481741,176.809195,10,ROLP 1,Crownthorpe Sector,2414,723,6,0.71,B1,B
55,RWR B1,M.9,3.5,1.2,2016,2021,Spindle,R2447,Watson Road,25  Watson Road,Hastings,-39.626789,176.886742,9,Rockit Watson Road Partnership,Independent Sector,2315,3810,63,1.723,B1,B
