OrchardDesc,PIN,Manager,OrchardGroup,Planting code,Variety code,Variety,Strain of,Produce,Root stock,Growing system,Row spacing,Tree spacing,Planted,Grafted,BioGro year,First season,Last season,Notes,Tags (planting),# trees,# rows,Hectares,Growing method,Mgmt. area,Prod. site,Clearance,Tags (season)
IND - Ngati Pahauwera Commercial Development Ltd,R2920,,Independent Sector,11RK1,996,Rockit,,Apples,,,2.8,1.6,2022,,,2023,,,,3635,0,1.628,Conventional,P11RK,F,,
IND - Ngati Pahauwera Commercial Development Ltd,R2920,,Independent Sector,13RK1,996,Rockit,,Apples,,,2.8,1.6,2021,,,2023,,,,6991,0,3.131,Conventional,P13RK,G,,
IND - Ngati Pahauwera Commercial Development Ltd,R2920,,Independent Sector,13RK2,996,Rockit,,Apples,,,2.8,1.6,2022,,,2023,,,,681,0,0.305,Conventional,P13RK,G,,
IND - Ngati Pahauwera Commercial Development Ltd,R2920,,Independent Sector,14RK1,996,Rockit,,Apples,,,2.8,1.6,2022,,,2023,,,,5000,0,2.24,Conventional,P13RK,G,,
IND - Ngati Pahauwera Commercial Development Ltd,R2920,,Independent Sector,15RK1,996,Rockit,,Apples,,,2.8,1.6,2022,,,2023,,,,2227,0,0.998,Conventional,P13RK,G,,
IND - Ngati Pahauwera Commercial Development Ltd,R2920,,Independent Sector,16RK1,996,Rockit,,Apples,,,2.8,1.6,2022,,,2023,,,,10228,0,4.58,Conventional,P16RK,H,,
IND - Ngati Pahauwera Commercial Development Ltd,R2920,,Independent Sector,17RK1,996,Rockit,,Apples,,,2.8,1.6,2022,,,2023,,,,8410,0,3.76,Conventional,P16RK,H,,
IND - Ngati Pahauwera Commercial Development Ltd,R2920,,Independent Sector,18RK1,996,Rockit,,Apples,,,2.8,1.6,2022,,,2023,,,,5909,0,2.647,Conventional,P18RK,I,,
IND - Ngati Pahauwera Commercial Development Ltd,R2920,,Independent Sector,19RK1,996,Rockit,,Apples,,,2.8,1.6,2022,,,2023,,,,8410,0,3.767,Conventional,P18RK,I,,
IND - Ngati Pahauwera Commercial Development Ltd,R2920,,Independent Sector,8RK1,996,Rockit,,Apples,,,2.8,1.6,2021,,,2023,,,,6800,0,3.046,Conventional,P8RK,E,,
IND - Ngati Pahauwera Commercial Development Ltd,R2920,,Independent Sector,9RK1,996,Rockit,,Apples,,,2.8,1.6,2021,,,2023,,,,8479,0,3.798,Conventional,P8RK,E,,
IND - Awahou Orchard,R1352,,Independent Sector,AWA AA,996,Rockit,,Apples,M116,,4.9,1.7,2021,,,2023,,,,444,0,0.37,Conventional,A,A,,
IND - Awahou Orchard,R1352,,Independent Sector,AWA AE,996,Rockit,,Apples,CG202,,3.8,1.6,2021,,,2023,,,,400,0,0.243,Conventional,E,A,,
IND - Awahou Orchard,R1352,,Independent Sector,AWA AFAO,996,Rockit,,Apples,CG202,,3.8,1.6,2021,,,2023,,,,1700,0,1.034,Conventional,F,A,,
IND - Awahou Orchard,R1352,,Independent Sector,AWA AFAO2,996,Rockit,,Apples,M793,,4.9,3.3,1994,,,2023,,,,65,0,0.129,Conventional,F,A,,Non-production
IND - Awahou Orchard,R1352,,Independent Sector,AWA AJ,996,Rockit,,Apples,M793,,3.9,1.6,2022,,,2023,,,,1748,0,1.097,Conventional,J,A,,
IND - Awahou Orchard,R1352,,Independent Sector,AWA AM,996,Rockit,,Apples,,,,,2024,,,2024,,,,0,0,0,Conventional,M,A,,
IND - Awahou Orchard,R1352,,Independent Sector,AWA AQ,996,Rockit,,Apples,CG202,,3.9,1.6,2022,,,2023,,,,972,0,0.606,Conventional,Q,A,,
IND - Awahou Orchard,R1352,,Independent Sector,AWA AZ,996,Rockit,,Apples,M26,,4,2,1994,,,2023,,,,875,0,0.7,Conventional,Z,A,,
IND - black bridge,R1351,,Independent Sector,BBO-A,996,Rockit,,Apples,MM106,,1.9,4.5,2004,,,2024,,,,2115,0,1.81,Conventional,A,A,,
IND - Springhill East,R2949,,Independent Sector,BLOCK 30,996,Rockit,,Apples,,,3.2,0.8,2021,,,2023,,,,14304,0,3.844,Conventional,30,M,,
IND - Springhill East,R2949,,Independent Sector,BLOCK 31,996,Rockit,,Apples,,,3.2,0.8,2021,,,2023,,,,14309,0,3.85,Conventional,31,N,,
