BinSource,ContractVendor,Orchard,OrchardBlock,OrchardPIN,OrchardProdSite,PackDate,Run,RunState,StorageType,Bins,KGsTotal,KGsExport,TCEsExport,KGsLocal,TCEsLocal,KGsProcess,TCEsProcess,KGsNonProcess,AvgSizeDenominator,AvgSizeNumerator
Pre-sized,Rockit Trading Company Ltd,Lawn Road,C1,R2917,R2917C,2/10/2024,PE1300,Final report sent,Smartfresh CA,56,20160,20160,1120,0,0,0,0,20160,720,86400
Pre-sized,Rockit Trading Company Ltd,Dartmoor,DR7,R2851,R2851M,11/04/2024,PE1089,Final report sent,Smartfresh Air,52,18720,18720,1040,0,0,0,0,18720,0,0
Orchard pick,Rockit Trading Company Ltd,Home Block,E8,R1230,R1230E,7/09/2024,P1460,Final report sent,Smartfresh CA,12,4791.868,3640.428,202.246,0,0,1151.44,63.96888825,3640.428,0,0
Orchard pick,Rockit Trading Company Ltd,Rockit Manahi,C,R2880,R2880C,7/09/2024,P1464,Final report sent,Smartfresh CA,99,42355.084,32419.044,1801.058,0,0,9936.04,552.0022167,32419.044,205.02,24602.4
Orchard pick,Rockit Trading Company Ltd,Rockit Manzana,,R2879,R2879D,17/10/2024,P1584,Final report sent,Smartfresh CA,79,35148.556,29358.756,1631.041998,0,0,5789.8,321.6555523,29358.756,13445.244,2362847.4
Pre-sized,Rockit Trading Company Ltd,Springhill East,37,R2949,R2949T,26/07/2024,PE1180,Final report sent,Smartfresh Air,82,29520,29520,1640,0,0,0,0,29520,0,0
Orchard pick,Rockit Trading Company Ltd,Rockit Manahi,C,R2880,R2880C,17/09/2024,P1486,Final report sent,Smartfresh CA,6,2435.464,1890.504,105.028,0,0,544.96,30.27555525,1890.504,0,0
Orchard pick,Rockit Trading Company Ltd,Mana2,,R2927,R2927B,27/08/2024,P1431,Final report sent,Smartfresh CA,26,10787.908,8493.228,471.846,0,0,2294.68,127.4822209,8493.228,0,0
Orchard pick,Rockit Trading Company Ltd,Valley,,R2919,R2919E,4/10/2024,P1549,Final report sent,Smartfresh CA,31,12226.412,8999.932,499.9962221,0,0,3226.48,179.2488871,8999.932,3588.412,646169.32
Orchard pick,Rockit Trading Company Ltd,Karaua,ROCK1,R2934,R2934F,7/08/2024,P1402,Final report sent,Smartfresh Air,14,5449.22,4274.82,237.49,0,0,1174.4,65.24444379,4274.82,119.664,14359.68
