BinSource,ContractVendor,Orchard,OrchardBlock,OrchardPIN,OrchardProdSite,PackDate,Run,RunState,StorageType,Variety,VarietyStrain,Bins,KGsTotal,KGsExport,TCEsExport,KGsLocal,TCEsLocal,KGsProcess,TCEsProcess,KGsNonProcess,AvgSizeDenominator,AvgSizeNumerator
Pre-sized,Rockit Trading Company Ltd,Dartmoor,DR7,R2851,R2851M,11/04/2024,PE1089,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),52,18720,18720,1040,0,0,0,0,18720,0,0
Orchard pick,Rockit Trading Company Ltd,Rockit Manzana,C1,R2879,R2879C,11/04/2024,P1147,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),21,9359.226,8417.466,467.6367085,0,0,941.76,52.31999948,8417.466,367.29,44074.8
Pre-sized,Rockit Trading Company Ltd,Springhill East,36,R2949,R2949S,24/07/2024,PE1177,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),115,41400,41400,2300,0,0,0,0,41400,360,43200
Orchard pick,Rockit Trading Company Ltd,Valley,F2,R2919,R2919F,5/09/2024,P1455,Done,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),6,2393.644,1657.764,92.098,0,0,735.88,40.88222181,1657.764,81.612,9793.44
Pre-sized,Rockit Trading Company Ltd,Springhill East,37,R2949,R2949T,26/07/2024,PE1180,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),82,29520,29520,1640,0,0,0,0,29520,0,0
Orchard pick,Rockit Trading Company Ltd,Mana2,,R2927,R2927B,27/08/2024,P1431,Final report sent,Smartfresh CA,Rockit (TM) (996),Rockit (TM) (996),26,10787.908,8493.228,471.846,0,0,2294.68,127.4822209,8493.228,0,0
Orchard pick,Rockit Trading Company Ltd,Karaua,ROCK1,R2934,R2934F,7/08/2024,P1402,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),14,5449.22,4274.82,237.49,0,0,1174.4,65.24444379,4274.82,119.664,14359.68
Orchard pick,Rockit Trading Company Ltd,Springhill East,32,R2949,R2949O,23/07/2024,P1377,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),130,55879.108,50382.108,2799.006,0,0,5497,305.3888858,50382.108,634.716,76165.92
Pre-sized,Rockit Trading Company Ltd,Colaghty Orchard,A,R2929,R2929A,26/08/2024,PE1214,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),7,2520,2520,140,0,0,0,0,2520,0,0
Pre-sized,Rockit Trading Company Ltd,Pioneer,,R1580,R1580C,26/08/2024,PE1213,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),5,1800,1800,100,0,0,0,0,1800,0,0
Orchard pick,Rockit Trading Company Ltd,Dartmoor,DR3,R2851,R2851E,15/08/2024,P1409,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),52,22180.184,18931.104,1051.728,0,0,3249.08,180.5044426,18931.104,454.536,54544.32
Pre-sized,Rockit Trading Company Ltd,Valley,,R2919,R2919C,10/06/2024,PE1141,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),86,30960,30960,1720,0,0,0,0,30960,13680,2586600
Orchard pick,Rockit Trading Company Ltd,Valley,,R2919,R2919A,3/05/2024,P1200,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),54,22526.518,19592.958,1088.495,0,0,2933.56,162.9755539,19592.958,7471.11,1362350.7
Pre-sized,Rockit Trading Company Ltd,MANZANA 2,C,R2925,R2925C,7/08/2024,PE1190,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),32,11520,11520,640,0,0,0,0,11520,0,0
Orchard pick,Rockit Trading Company Ltd,Steel,D,R1149,R1149D,23/08/2024,P1422,Final report sent,Smartfresh CA,Rockit (TM) (996),Rockit (TM) (996),17,7044.872,5239.512,291.084,0,0,1805.36,100.2977768,5239.512,0,0
Pre-sized,Rockit Trading Company Ltd,Springhill East,30,R2949,R2949M,26/07/2024,PE1179,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),90,32400,32400,1800,0,0,0,0,32400,720,86400
Pre-sized,Rockit Trading Company Ltd,Mana2,B2,R2927,R2927B,19/08/2024,PE1199,Final report sent,Smartfresh CA,Rockit (TM) (996),Rockit (TM) (996),50,18000,18000,1000,0,0,0,0,18000,0,0
Pre-sized,Rockit Trading Company Ltd,MANZANA 2,A,R2925,R2925A,24/06/2024,PE1162,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),65,23400,23400,1300,0,0,0,0,23400,10440,1873800
Orchard pick,Rockit Trading Company Ltd,Sim2,A1,R2886,R2886A,11/04/2024,P1150,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),29,13030.382,11199.982,622.2207785,0,0,1830.4,101.6888879,11199.982,279.09,33490.8
Pre-sized,Rockit Trading Company Ltd,Rangi2,C,R2901,R2901C,26/08/2024,PE1217,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),4,1440,1440,80,0,0,0,0,1440,0,0
Pre-sized,Rockit Trading Company Ltd,Korokipo Verries,KVR1,R2872,R2872B,5/09/2024,PE1229,Done,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),22,7920,7920,440,0,0,0,0,7920,0,0
Orchard pick,Rockit Trading Company Ltd,Korokipo Verries,KVR3,R2872,R2872H,6/08/2024,P1396,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),22,9006.604,7318.044,406.558,0,0,1688.56,93.80888795,7318.044,0,0
Orchard pick,Rockit Trading Company Ltd,Springhill East,36,R2949,R2949S,23/07/2024,P1378,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),105,44993.184,40631.184,2257.288,0,0,4362,242.3333309,40631.184,337.644,40517.28
